,"3D / Animation software (Rhino, After Effects, Unity, etc.)",AI / Algorithm design,AR / VR design,Art direction,Business development,Business operations,Coding,Copywriting,Data analysis,Data visualization,Drawing / Painting,Facilitation,Film / Video,Leadership,Mentoring,Other,Photography,Project management,Public speaking,Research,SEO / Social Media,UI design,UX design,Writing (published articles)
"3D / Animation software (Rhino, After Effects, Unity, etc.)",709,44,143,298,158,134,278,76,45,89,102,46,207,329,153,84,112,240,157,126,145,212,264,76
AI / Algorithm design,7,30,12,4,10,17,19,2,7,10,3,5,3,21,10,5,2,13,14,12,3,11,14,14
AR / VR design,54,20,68,11,19,13,42,6,14,17,7,10,14,35,25,4,5,14,12,17,13,18,26,18
Art direction,1378,104,302,1152,940,885,977,381,328,443,460,300,788,1764,807,570,523,931,755,543,844,970,1227,458
Business development,112,34,37,92,194,211,111,63,71,62,41,67,83,214,103,65,59,122,113,86,154,102,127,100
Business operations,71,18,15,55,148,128,74,45,60,49,37,48,65,150,71,55,39,90,85,51,134,79,104,58
Coding,328,72,100,215,185,180,581,92,121,175,115,79,141,369,167,88,103,267,168,181,195,321,431,118
Copywriting,266,27,45,237,221,211,276,115,108,133,130,86,225,400,177,132,126,248,169,147,279,238,312,137
Data analysis,37,24,14,31,48,49,69,22,61,68,21,28,23,111,45,19,15,74,35,41,26,57,69,41
Data visualization,420,62,90,349,254,216,398,151,179,263,131,118,206,521,216,137,127,335,228,218,222,360,494,141
Drawing / Painting,859,40,131,748,448,397,628,224,130,256,358,140,491,839,341,335,356,565,352,286,460,544,658,183
Facilitation,87,41,43,71,184,181,92,54,97,91,47,121,48,306,151,74,24,160,158,168,77,95,159,131
Film / Video,424,33,102,265,143,104,241,90,56,88,106,46,276,304,125,66,133,196,125,89,179,174,227,95
Leadership,376,88,158,356,485,530,330,160,220,218,125,228,246,749,448,217,160,426,431,300,345,339,476,292
Mentoring,286,55,117,244,328,320,257,96,128,145,110,176,167,656,237,156,110,278,289,209,196,245,335,214
Other,178,11,31,186,94,88,128,43,26,53,83,39,87,200,93,293,90,129,83,70,101,131,161,39
Photography,688,32,113,617,321,301,514,211,121,202,254,76,501,670,281,228,331,496,265,225,414,461,585,156
Project management,543,59,128,510,549,551,511,242,256,301,216,188,358,946,413,303,240,475,382,320,517,496,626,247
Public speaking,159,36,53,132,178,147,137,58,75,104,77,75,83,267,131,91,75,149,90,120,120,130,158,135
Research,410,96,112,337,354,336,420,172,236,300,152,218,184,723,312,196,135,430,302,382,217,386,498,274
SEO / Social Media,272,13,36,291,201,152,263,130,106,116,109,45,210,304,113,66,150,238,128,118,265,215,288,75
UI design,610,126,231,492,413,401,795,219,252,351,220,258,251,1038,475,177,173,546,433,537,299,702,985,268
UX design,496,165,239,393,439,428,709,215,303,376,186,290,188,1035,477,158,137,571,441,587,261,616,871,309
Writing (published articles),101,23,38,65,95,84,115,28,46,60,36,52,70,168,86,65,34,101,82,91,74,82,106,88
